CommandeID,ClientID,ProduitID,DateCommande,Quantité,Total
1,24,10,2025-05-02,2,444
2,25,17,2025-04-29,3,885
3,46,12,2025-04-20,2,282
4,48,11,2025-07-05,3,330
5,18,5,2025-01-27,1,76
6,7,19,2025-05-31,1,36
7,37,9,2025-06-17,3,171
8,14,7,2025-01-15,2,340
9,50,6,2025-05-18,1,182
10,21,6,2025-03-08,2,364
11,49,3,2025-05-02,1,94
12,18,12,2025-03-19,3,423
13,33,3,2025-04-03,1,94
14,4,7,2025-06-25,3,510
15,38,20,2025-01-28,3,867
16,38,19,2025-02-16,2,72
17,19,3,2025-05-21,3,282
18,6,5,2025-07-07,2,152
19,9,6,2025-05-06,3,546
20,27,8,2025-02-04,3,855
21,39,13,2025-01-25,1,247
22,28,7,2025-01-23,1,170
23,23,6,2025-01-18,1,182
24,2,17,2025-05-08,2,590
25,5,1,2025-03-25,1,215
26,49,5,2025-04-14,1,76
27,14,10,2025-06-03,1,222
28,1,13,2025-05-07,3,741
29,37,12,2025-03-13,2,282
30,11,13,2025-01-25,1,247
31,48,13,2025-05-01,3,741
32,22,15,2025-05-21,1,224
33,24,12,2025-06-24,1,141
34,21,19,2025-06-24,1,36
35,17,11,2025-03-11,3,330
36,22,2,2025-02-28,3,780
37,45,14,2025-06-30,2,246
38,38,8,2025-04-25,3,855
39,34,9,2025-02-11,3,171
40,20,1,2025-05-27,1,215
41,14,17,2025-06-30,1,295
42,7,5,2025-01-30,3,228
43,7,2,2025-05-08,3,780
44,1,1,2025-03-07,3,645
45,9,18,2025-03-11,2,420
46,29,17,2025-04-01,2,590
47,48,19,2025-01-20,1,36
48,23,16,2025-07-01,1,110
49,10,18,2025-07-06,2,420
50,11,9,2025-02-07,2,114
51,14,2,2025-02-24,2,520
52,13,6,2025-02-17,1,182
53,15,5,2025-06-06,2,152
54,26,18,2025-04-25,3,630
55,38,15,2025-03-04,1,224
56,37,12,2025-05-17,3,423
57,24,1,2025-01-15,3,645
58,36,9,2025-04-23,3,171
59,21,8,2025-04-15,2,570
60,18,8,2025-04-22,3,855
61,6,5,2025-02-25,2,152
62,36,6,2025-01-15,3,546
63,34,7,2025-05-28,3,510
64,18,1,2025-05-09,3,645
65,10,12,2025-03-07,2,282
66,20,11,2025-06-27,2,220
67,7,17,2025-02-17,1,295
68,19,15,2025-03-22,2,448
69,22,12,2025-06-30,2,282
70,42,16,2025-03-20,3,330
71,44,2,2025-01-30,2,520
72,21,9,2025-06-02,3,171
73,34,18,2025-06-26,1,210
74,27,8,2025-04-21,3,855
75,23,20,2025-02-02,1,289
76,48,2,2025-04-20,2,520
77,5,19,2025-02-07,1,36
78,4,7,2025-01-27,2,340
79,7,8,2025-03-10,1,285
80,3,11,2025-05-10,2,220
81,35,8,2025-06-14,1,285
82,42,19,2025-01-19,2,72
83,6,2,2025-02-23,3,780
84,41,14,2025-03-31,2,246
85,4,5,2025-02-18,1,76
86,22,3,2025-06-20,1,94
87,33,3,2025-01-15,2,188
88,8,4,2025-07-09,1,124
89,8,8,2025-03-13,1,285
90,25,16,2025-02-06,3,330
91,27,4,2025-04-25,2,248
92,23,16,2025-02-23,1,110
93,34,7,2025-06-24,1,170
94,45,16,2025-02-20,2,220
95,10,10,2025-05-15,1,222
96,6,17,2025-03-05,2,590
97,37,7,2025-04-01,2,340
98,39,18,2025-05-28,3,630
99,38,8,2025-06-10,2,570
100,44,6,2025-04-01,1,182
101,38,20,2025-03-04,1,289
102,28,2,2025-05-31,2,520
103,25,3,2025-03-13,2,188
104,15,15,2025-04-09,2,448
105,28,12,2025-05-12,2,282
106,24,8,2025-06-16,1,285
107,25,18,2025-04-24,3,630
108,25,2,2025-03-13,3,780
109,41,11,2025-04-01,1,110
110,4,20,2025-06-07,3,867
111,39,13,2025-03-19,1,247
112,23,6,2025-03-22,2,364
113,15,6,2025-06-05,2,364
114,36,7,2025-06-02,1,170
115,41,10,2025-04-30,3,666
116,37,19,2025-02-15,3,108
117,12,7,2025-02-11,3,510
118,24,15,2025-05-09,1,224
119,28,3,2025-03-23,1,94
120,32,5,2025-05-29,2,152
121,21,11,2025-05-25,1,110
122,50,17,2025-06-17,1,295
123,47,7,2025-02-16,2,340
124,31,20,2025-07-07,1,289
125,38,18,2025-02-16,1,210
126,22,16,2025-01-22,1,110
127,39,20,2025-03-25,3,867
128,2,2,2025-02-24,1,260
129,30,13,2025-06-18,2,494
130,25,2,2025-07-07,3,780
131,14,5,2025-03-30,3,228
132,47,17,2025-01-20,3,885
133,26,13,2025-02-03,2,494
134,17,11,2025-04-19,3,330
135,38,12,2025-02-20,3,423
136,8,20,2025-06-01,3,867
137,18,12,2025-06-19,2,282
138,8,19,2025-02-14,3,108
139,14,13,2025-07-12,2,494
140,7,8,2025-05-15,3,855
141,30,7,2025-06-03,2,340
142,48,13,2025-04-28,1,247
143,45,15,2025-04-04,3,672
144,20,5,2025-01-23,1,76
145,8,19,2025-05-16,3,108
146,33,12,2025-07-15,3,423
147,35,17,2025-06-28,1,295
148,7,12,2025-06-18,2,282
149,45,17,2025-04-16,3,885
150,36,19,2025-06-14,3,108
151,38,12,2025-04-03,1,141
152,45,13,2025-07-02,3,741
153,43,15,2025-06-21,2,448
154,28,5,2025-05-10,1,76
155,43,13,2025-02-08,2,494
156,16,19,2025-05-03,2,72
157,44,5,2025-02-06,1,76
158,44,18,2025-06-27,2,420
159,21,10,2025-06-16,1,222
160,13,8,2025-03-11,3,855
161,2,7,2025-03-23,1,170
162,50,19,2025-04-28,2,72
163,9,11,2025-03-24,2,220
164,23,11,2025-04-14,3,330
165,24,4,2025-05-29,2,248
166,25,1,2025-02-27,2,430
167,6,7,2025-02-26,1,170
168,49,16,2025-06-11,2,220
169,14,6,2025-03-05,2,364
170,46,4,2025-02-12,2,248
171,42,9,2025-07-14,3,171
172,27,20,2025-03-08,3,867
173,38,9,2025-06-02,1,57
174,4,17,2025-03-03,2,590
175,22,10,2025-04-22,2,444
176,36,8,2025-04-04,1,285
177,37,12,2025-06-23,1,141
178,27,17,2025-05-30,3,885
179,44,3,2025-05-02,3,282
180,12,6,2025-01-26,1,182
181,27,17,2025-03-27,2,590
182,10,1,2025-06-09,3,645
183,41,7,2025-02-24,1,170
184,38,9,2025-05-10,1,57
185,32,13,2025-05-06,3,741
186,5,14,2025-05-16,3,369
187,14,14,2025-06-27,2,246
188,47,12,2025-05-04,3,423
189,17,2,2025-04-26,3,780
190,22,18,2025-07-05,1,210
191,3,19,2025-02-20,2,72
192,8,3,2025-07-04,3,282
193,3,3,2025-06-21,2,188
194,43,1,2025-05-25,1,215
195,48,5,2025-04-07,3,228
196,5,6,2025-01-27,3,546
197,26,1,2025-04-11,2,430
198,34,4,2025-03-19,2,248
199,16,4,2025-02-25,2,248
200,34,18,2025-05-03,1,210
